"Dinophysis";"Dinophysis + phalacroma";"Dinophysis acuminata";"Dinophysis caudata";"Dinophysis tripos";"Dinophysis acuta";"Dinophysis sacculus";"Dinophysis fortii";"Dinophysis hastata + odiosa";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"Longitude";"Latitude";"ID.interne.passage";"Day";"Dinophysis_genus";"log_c";"true_count"
0;0;0;0;0;0;0;0;0;11;"At so";2009;3;2009-03-13;"13:33:00";"FLORTOT";1,4745046439;50,2312831163;60024364;72;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;3;2009-03-23;"10:13:00";"FLORTOT";1,4745046439;50,2312831163;60025745;82;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;4;2009-04-06;"10:25:00";"FLORTOT";1,4745046439;50,2312831163;60027925;96;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;4;2009-04-23;"11:30:00";"FLORTOT";1,4745046439;50,2312831163;60030712;113;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;5;2009-05-13;"15:15:00";"FLORTOT";1,4745046439;50,2312831163;60031562;133;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;5;2009-05-28;"15:20:00";"FLORTOT";1,4745046439;50,2312831163;60033364;148;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;6;2009-06-10;"14:20:00";"FLORTOT";1,4745046439;50,2312831163;60034403;161;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;6;2009-06-26;"15:47:00";"FLORTOT";1,4745046439;50,2312831163;60037023;177;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;7;2009-07-22;"13:00:00";"FLORTOT";1,4745046439;50,2312831163;60041088;203;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;8;2009-08-05;"12:35:00";"FLORTOT";1,4745046439;50,2312831163;60042651;217;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;8;2009-08-19;"11:15:00";"FLORTOT";1,4745046439;50,2312831163;60044142;231;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;9;2009-09-07;"14:40:00";"FLORTOT";1,4745046439;50,2312831163;60045724;250;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;10;2009-10-22;"15:20:00";"FLORTOT";1,4745046439;50,2312831163;60054202;295;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;12;2009-12-01;"10:25:00";"FLORTOT";1,4745046439;50,2312831163;60061344;335;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2009;12;2009-12-15;"11:00:00";"FLORTOT";1,4745046439;50,2312831163;60068444;349;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;1;2010-01-21;"14:48:00";"FLORTOT";1,4745046439;50,2312831163;60075604;21;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;3;2010-03-03;"13:15:00";"FLORTOT";1,4745046439;50,2312831163;60084562;62;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;3;2010-03-16;"12:12:00";"FLORTOT";1,4745046439;50,2312831163;60085482;75;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;4;2010-04-14;"13:33:00";"FLORTOT";1,4745046439;50,2312831163;60088683;104;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;4;2010-04-28;"12:30:00";"FLORTOT";1,4745046439;50,2312831163;60089682;118;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;5;2010-05-12;"11:45:00";"FLORTOT";1,4745046439;50,2312831163;60092183;132;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;5;2010-05-28;"13:30:00";"FLORTOT";1,4745046439;50,2312831163;60099486;148;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;6;2010-06-11;"11:50:00";"FLORTOT";1,4745046439;50,2312831163;60100882;162;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;6;2010-06-25;"12:05:00";"FLORTOT";1,4745046439;50,2312831163;60102222;176;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;7;2010-07-19;"18:25:00";"FLORTOT";1,4745046439;50,2312831163;60140292;200;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;8;2010-08-12;"14:20:00";"FLORTOT";1,4745046439;50,2312831163;60142212;224;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;9;2010-09-07;"12:10:00";"FLORTOT";1,4745046439;50,2312831163;60145692;250;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;10;2010-10-07;"12:25:00";"FLORTOT";1,4745046439;50,2312831163;60147742;280;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;11;2010-11-24;"13:24:00";"FLORTOT";1,4745046439;50,2312831163;60150532;328;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2010;12;2010-12-21;"12:07:00";"FLORTOT";1,4745046439;50,2312831163;60151319;355;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;1;2011-01-24;"15:22:00";"FLORTOT";1,4745046439;50,2312831163;60152635;24;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;2;2011-02-21;"13:52:00";"FLORTOT";1,4745046439;50,2312831163;60184313;52;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;3;2011-03-08;"13:50:00";"FLORTOT";1,4745046439;50,2312831163;60186913;67;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;3;2011-03-31;"11:00:00";"FLORTOT";1,4745046439;50,2312831163;60188712;90;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;4;2011-04-07;"15:05:00";"FLORTOT";1,4745046439;50,2312831163;60188715;97;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;4;2011-04-19;"13:48:00";"FLORTOT";1,4745046439;50,2312831163;60188775;109;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;5;2011-05-19;"13:50:00";"FLORTOT";1,4745046439;50,2312831163;60222533;139;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;6;2011-06-01;"13:10:00";"FLORTOT";1,4745046439;50,2312831163;60223175;152;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;7;2011-07-28;"11:15:00";"FLORTOT";1,4745046439;50,2312831163;60225194;209;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;8;2011-08-18;"15:32:00";"FLORTOT";1,4745046439;50,2312831163;60226028;230;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;9;2011-09-15;"14:40:00";"FLORTOT";1,4745046439;50,2312831163;60226938;258;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;10;2011-10-17;"15:45:00";"FLORTOT";1,4745046439;50,2312831163;60228956;290;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2011;11;2011-11-10;"11:34:00";"FLORTOT";1,4745046439;50,2312831163;60229856;314;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;1;2012-01-10;"12:38:00";"FLORTOT";1,4745046439;50,2312831163;60233397;10;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;2;2012-02-06;"11:29:00";"FLORTOT";1,4745046439;50,2312831163;60236522;37;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;3;2012-03-09;"12:30:00";"FLORTOT";1,4745046439;50,2312831163;60237202;69;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;3;2012-03-23;"12:30:00";"FLORTOT";1,4745046439;50,2312831163;60237705;83;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;4;2012-04-03;"10:00:00";"FLORTOT";1,4745046439;50,2312831163;60237954;94;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;5;2012-05-07;"13:35:00";"FLORTOT";1,4745046439;50,2312831163;60245388;128;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;5;2012-05-23;"14:20:00";"FLORTOT";1,4745046439;50,2312831163;60247130;144;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;6;2012-06-07;"14:55:00";"FLORTOT";1,4745046439;50,2312831163;60251348;159;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;6;2012-06-20;"13:35:00";"FLORTOT";1,4745046439;50,2312831163;60255210;172;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;7;2012-07-23;"15:40:00";"FLORTOT";1,4745046439;50,2312831163;60263871;205;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;8;2012-08-08;"16:40:00";"FLORTOT";1,4745046439;50,2312831163;60266590;221;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;9;2012-09-06;"16:00:00";"FLORTOT";1,4745046439;50,2312831163;60281050;250;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2012;11;2012-11-14;"11:45:00";"FLORTOT";1,4745046439;50,2312831163;60296009;319;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;1;2013-01-17;"15:15:00";"FLORTOT";1,4745046439;50,2312831163;60331732;17;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;2;2013-02-12;"13:28:00";"FLORTOT";1,4745046439;50,2312831163;60337428;43;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;3;2013-03-14;"13:00:00";"FLORTOT";1,4745046439;50,2312831163;60347893;73;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;4;2013-04-10;"13:08:00";"FLORTOT";1,4745046439;50,2312831163;60350530;100;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2013;4;2013-04-26;"12:30:00";"FLORTOT";1,4745046439;50,2312831163;60353589;116;0;0;0
