"Code_point_Libelle";"Date";"Prelevement.niveau";"Profondeur.metre";"Mesure_Unite";"Mesure_Symbole";"Qualite.prelevement";"Qualite.resultat";"ID.interne.prelevement";"ID.interne.passage";"Date.validation";"Month";"Year";"Day";"Week";"Fortnight";"Allo";"Anth";"Asta";"But-fuco";"Cantha";"Chlide-a";"Chlide-b";"CHLOROA";"CHLOROB";"CHLOROC2";"CHLOROC3";"C-neo";"Diadino";"Diato";"Dino";"DVCHLOROA";"Fuco";"Hex-fuco";"Lut";"Peri";"Phe-a";"Pheide-a";"Pras";"Viola";"Zea"
"Point 1 Dunkerque";2016-02-26;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60665882;60540918;"29/04/2019";2;2016;57;9;5;0,022;0;0;0;0;0,037;0;3,001;0,076;0,377;0,045;0;0,13;0;0;0;1,518;0;0;0,028;0,091;0,087;0;0;0
"Point 1 Dunkerque";2016-03-10;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60667021;60541209;"29/04/2019";3;2016;70;10;5;0,031;0;0;0;0;0,046;0;5,162;0,073;0,554;0,055;0;0,197;0,045;0;0;2,275;0;0;0;0,305;0,207;0;0;0,02
"Point 1 Dunkerque";2016-03-23;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60670271;60543444;"29/04/2019";3;2016;83;12;6;0,017;0;0;0,055;0;0,243;0;29,698;0;3,361;0,138;0,012;0,974;0,058;0;0;10,913;0;0;0;0,594;0,346;0;0,023;0
"Point 1 Dunkerque";2016-04-05;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60677148;60547032;"29/04/2019";4;2016;96;14;7;0,023;0;0;0;0;0,072;0;8,458;0;1,145;0,472;0;0,339;0,079;0;0;4,246;0;0,012;0,024;0,17;0,129;0;0;0
"Point 1 Dunkerque";2016-04-19;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60689162;60553086;"29/04/2019";4;2016;110;16;8;0,131;0;0;0;0;0,067;0;4,338;0;0,626;0,209;0;0,209;0,017;0;0;2,104;0,102;0;0,119;0,223;0,153;0,067;0;0,019
"Point 1 Dunkerque";2016-05-09;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60690846;60553903;"29/04/2019";5;2016;130;19;10;0;0;0;0;0;0;0;1,038;0;0,126;0,114;0;0,04;0,009;0;0;0,473;0,013;0;0;0,067;0,068;0,024;0;0
"Point 1 Dunkerque";2016-05-26;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60692565;60554914;"29/04/2019";5;2016;147;21;11;0;0;0;0;0;0;0;2,51;0;0,317;0,054;0;0,118;0;0;0;1,311;0;0;0;0,073;0,085;0;0;0
"Point 1 Dunkerque";2016-06-07;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60693490;60555460;"29/04/2019";6;2016;159;23;12;0,072;0;0;0;0;0,044;0;8,019;0,042;1,283;0,165;0;0,346;0,037;0;0;3,837;0;0;0;0,329;0,082;0;0;0
"Point 1 Dunkerque";2016-08-01;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60697724;60557892;"29/04/2019";8;2016;214;31;16;1,307;0;0;0;0;0,674;0;43,381;0,454;6,257;2,086;0;2,088;0,172;0;0;21,035;1,02;0;1,189;2,228;1,525;0,668;0;0,191
"Point 1 Dunkerque";2016-09-06;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60700196;60559403;"29/04/2019";9;2016;250;36;18;0,103;0;0;0;0;0;0;3,975;0,392;0,497;0,094;0;0,13;0,016;0;0;1,682;0,028;0;0,11;0,13;0;0,05;0;0,027
"Point 1 Dunkerque";2016-10-25;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60706111;60561959;"29/04/2019";10;2016;299;43;22;0,072;0;0;0;0;0;0;3,317;0,113;0,455;0,125;0;0,13;0,017;0;0;1,592;0,031;0;0;0,107;0,152;0,03;0;0
"Point 1 Dunkerque";2016-11-29;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60710159;60563849;"29/04/2019";11;2016;334;48;24;0,034;0;0;0;0;0;0;1,187;0,046;0,14;0,029;0;0,046;0;0;0;0,597;0;0;0;0,069;0,067;0;0;0
"Point 1 Dunkerque";2016-12-14;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60711090;60564513;"29/04/2019";12;2016;349;50;25;0,042;0;0;0;0;0;0;1,435;0,12;0,169;0,04;0;0,05;0,015;0;0;0,775;0;0;0;0,105;0,085;0,031;0;0
"Point 1 Dunkerque";2017-01-18;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60714009;60566163;"29/04/2019";1;2017;18;3;2;0,016;0;0;0;0;0;0;0,801;0,068;0,043;0,006;0;0,022;0;0;0;0,339;0;0;0;0,043;0,034;0;0;0,006
"Point 1 Dunkerque";2017-02-15;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60727699;60573903;"29/04/2019";2;2017;46;7;4;0,02;0;0;0;0;0;0;2,957;0,1;0,173;0,014;0;0,126;0;0;0;1,449;0;0;0;0,078;0,091;0;0;0
"Point 1 Dunkerque";2017-02-27;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60741393;60580849;"29/04/2019";2;2017;58;9;5;0;0;0;0;0;0;0;4,065;0,058;0,243;0,017;0;0,154;0;0;0;1,894;0;0;0;0,162;0,171;0;0;0
"Point 1 Dunkerque";2017-03-10;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60742405;60581388;"29/04/2019";3;2017;69;10;5;0;0;0;0;0;0;0;2,63;0,047;0,134;0,008;0;0,1;0;0;0;1,189;0;0;0;0,111;0,111;0;0;0
"Point 1 Dunkerque";2017-04-11;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60755296;60594739;"29/04/2019";4;2017;101;15;8;0;0;0;0;0;0;0;2,855;0;0,398;0,229;0;0,088;0;0;0;1,063;0;0;0;0;0;0;0;0
"Point 1 Dunkerque";2017-04-24;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60757577;60596815;"15/02/2018";4;2017;114;17;9;0;0;0;0;0;0;0;1,968;0;0,265;0,27;0;0,099;0;0;0;0,841;0,068;0;0;0;0;0,058;0;0
"Point 1 Dunkerque";2017-05-11;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60790606;60601665;"15/02/2018";5;2017;131;19;10;0;0;0;0;0;0;0;1,153;0;0,181;0,091;0;0,087;0;0;0;0,735;0;0;0;0;0,065;0;0;0
"Point 1 Dunkerque";2017-05-16;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60790976;60601827;"15/02/2018";5;2017;136;20;10;0;0;0;0;0;0;0;0,903;0;0,132;0,094;0;0,091;0,012;0;0;0,575;0,041;0;0;0,051;0;0,02;0;0
"Point 1 Dunkerque";2017-05-22;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60792735;60602878;"15/02/2018";5;2017;142;21;11;0,034;0;0;0;0;0;0;2,027;0;0,235;0,206;0;0,154;0,014;0;0;1,173;0,068;0,008;0;0,094;0,074;0,062;0;0,018
"Point 1 Dunkerque";2017-06-14;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60795464;60603837;"15/02/2018";6;2017;165;24;12;0,028;0;0;0;0;0;0;2,424;0,048;0,309;0,099;0;0,211;0,029;0;0;1,431;0,024;0;0,029;0,073;0,076;0,017;0;0,013
"Point 1 Dunkerque";2017-06-26;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60796467;60604605;"15/02/2018";6;2017;177;26;13;0,056;0;0;0;0;0;0;2,43;0,251;0,302;0,103;0;0,135;0,019;0;0;1,167;0,053;0;0,04;0,108;0,085;0,046;0;0,023
"Point 1 Dunkerque";2017-07-10;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60798607;60606220;"15/02/2018";7;2017;191;28;14;0,011;0;0;0;0;0;0;1,428;0,066;0,17;0,071;0;0,143;0,011;0;0;0,785;0,067;0;0,036;0,058;0,054;0,026;0,006;0,027
"Point 1 Dunkerque";2017-08-11;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60804998;60609481;"15/02/2018";8;2017;223;32;16;0,049;0;0;0;0;0;0;4,398;0,486;0,552;0,049;0;0,292;0,027;0;0;1,785;0,049;0,011;0,143;0,071;0,059;0,033;0,022;0,033
"Point 1 Dunkerque";2017-08-21;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60809046;60609759;"15/02/2018";8;2017;233;34;17;0,075;0;0;0;0;0;0;3,71;0,346;0;0,069;0;0,204;0,02;0;0;1,531;0,041;0;0,096;0,281;0,463;0,036;0,014;0,03
"Point 1 Dunkerque";2017-09-04;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60810386;60610445;"15/02/2018";9;2017;247;36;18;0,113;0;0;0;0;0;0;3,313;0,46;0,38;0,131;0;0,192;0,014;0;0;1,34;0,138;0;0,054;0,093;0,068;0,059;0;0,026
"Point 1 Dunkerque";2017-09-20;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60813446;60611423;"29/04/2019";9;2017;263;38;19;0,091;0;0;0,011;0;0;0;3,198;0,281;0,242;0,063;0,008;0,128;0,01;0;0;1,363;0,045;0,006;0;0,087;0,052;0,042;0,007;0,025
"Point 1 Dunkerque";2017-10-19;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60847611;60627252;"29/04/2019";10;2017;292;42;21;0;0;0;0,008;0,012;0;0;4,031;0,129;0,225;0,053;0,007;0,176;0,076;0,181;0;1,689;0,007;0,01;0,021;0,189;0,168;0,011;0,008;0,022
"Point 1 Dunkerque";2017-11-07;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60848640;60627859;"29/04/2019";11;2017;311;45;23;0,021;0,016;0;0,01;0;0;0;4,615;0,229;0,233;0,108;0,018;0,264;0,013;0;0;1,91;0,011;0,007;0;0,115;0,15;0,041;0,003;0,016
"Point 1 Dunkerque";2017-11-24;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60850320;60628881;"29/04/2019";11;2017;328;47;24;0,034;0;0;0,006;0;0;0;2,171;0,111;0,101;0,029;0;0,185;0,02;0;0;1,156;0,009;0;0;0,043;0,03;0,014;0,006;0
"Point 1 Dunkerque";2017-12-04;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60851703;60629512;"29/04/2019";12;2017;338;49;25;0,035;0;0;0,005;0;0;0;2,422;0,142;0,115;0,031;0,011;0,175;0,014;0;0;1,203;0;0,006;0;0,068;0,04;0,011;0;0,008
"Point 1 Dunkerque";2017-12-22;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60863524;60630428;"29/04/2019";12;2017;356;51;26;0,028;0,021;0;0;0;0;0;5,361;0;0,203;0;0,019;0,51;0,03;0;0;2,973;0;0,006;0;0,098;0;0,01;0,005;0,01
"Point 1 Dunkerque";2018-01-11;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60872101;60631448;"08/01/2020";1;2018;11;2;1;0,022;0,008;0;0,006;0;0;0;2,258;0;0,104;0,034;0,012;0,167;0,012;0;0;1,161;0,013;0,004;0;0,054;0,046;0,014;0,003;0,007
"Point 1 Dunkerque";2018-02-16;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61206575;60641082;"08/01/2020";2;2018;47;7;4;0,034;0;0;0;0;0;0;2,156;0;0,132;0,03;0;0;0,011;0;0;1,021;0;0,002;0,047;0;0;0,014;0;0,006
"Point 1 Dunkerque";2018-03-09;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61579735;60650491;"08/01/2020";3;2018;68;10;5;0,019;0;0;0;0;0;0;8,75;0;0,479;0,016;0;0,387;0,025;0;0;3,415;0;0;0,027;0,177;0,165;0;0;0
"Point 1 Dunkerque";2018-03-26;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61605101;60651359;"08/01/2020";3;2018;85;13;7;0,026;0;0;0,008;0;0;0;4,025;0,06;0,271;0,08;0,004;0,224;0,01;0;0;1,488;0,024;0,007;0,059;0,071;0,089;0,013;0,002;0,003
"Point 1 Dunkerque";2018-04-11;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61609608;60652996;"08/01/2020";4;2018;101;15;8;0,008;0;0;0;0;0;0;6,089;0;0,775;0,47;0;0,189;0,017;0;0;1,9;0,017;0;0;0,083;0,054;0,028;0;0
"Point 1 Dunkerque";2018-04-27;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61613648;60654478;"08/01/2020";4;2018;117;17;9;0;0;0;0;0;0;0;7,856;0,08;0,791;0,491;0;0,347;0,094;0;0;3,404;0,018;0,004;0;0,098;0,079;0,037;0;0
"Point 1 Dunkerque";2018-05-31;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61627704;60663861;"08/01/2020";5;2018;151;22;11;0;0;0;0;0;0;0;1,581;0;0,151;0,092;0;0,091;0,011;0;0;0,955;0,023;0;0;0,033;0,052;0,02;0;0
"Point 1 Dunkerque";2018-06-13;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61630536;60664469;"08/01/2020";6;2018;164;24;12;0,076;0;0;0;0;0;0;9,645;0,136;0,858;0,206;0,007;0,43;0,053;0;0;4,451;0,012;0,004;0,01;0,142;0,098;0,037;0,016;0,01
"Point 1 Dunkerque";2018-06-27;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61635047;60665324;"08/01/2020";6;2018;178;26;13;0,037;0;0;0,002;0;0;0;4,078;0,186;0,388;0,181;0,007;0,227;0,067;0;0;2,057;0,048;0,006;0,014;0,039;0,034;0,049;0,011;0,027
"Point 1 Dunkerque";2018-07-05;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61643617;60666024;"08/01/2020";7;2018;186;27;14;0,099;0,005;0;0;0;0;0;4,165;0,577;0,396;0,124;0,033;0,297;0,044;0;0;1,441;0,072;0,006;0,376;0,04;0,016;0,128;0,037;0,028
"Point 1 Dunkerque";2018-07-17;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61647812;60666795;"08/01/2020";7;2018;198;29;15;0,099;0,005;0;0;0;0;0;4,675;0,345;0,372;0,13;0,025;0,384;0,046;0;0;2,331;0,061;0,013;0,114;0,064;0,058;0,107;0,04;0,036
"Point 1 Dunkerque";2018-08-02;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61650706;60668101;"08/01/2020";8;2018;214;31;16;0,07;0;0,008;0;0;0;0;3,715;0,268;0,36;0,333;0,011;0,179;0,024;0;0;1,44;0,139;0,004;0,102;0,042;0,021;0,087;0,008;0,015
"Point 1 Dunkerque";2018-08-23;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61653003;60669137;"08/01/2020";8;2018;235;34;17;0,129;0,003;0,004;0,007;0;0,105;0;8,608;0,156;0,578;0,028;0,01;0,332;0,03;0;0;4,102;0,023;0,012;0,096;0,146;0,154;0,048;0,016;0,031
"Point 1 Dunkerque";2018-09-14;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61662547;60672244;"08/01/2020";9;2018;257;37;19;0,042;0;0;0;0;0;0;2,243;0,214;0,216;0,068;0,006;0,105;0,013;0;0;0,892;0,098;0;0,048;0,044;0,11;0,028;0,008;0,006
"Point 1 Dunkerque";2018-09-26;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61664181;60673141;"08/01/2020";9;2018;269;39;20;0,084;0,003;0;0;0;0;0;6,655;0,121;0,55;0,122;0,005;0,222;0,025;0;0;3,14;0,038;0,006;0,018;0,101;0,23;0,027;0,008;0,01
"Point 1 Dunkerque";2018-10-10;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61677130;60674466;"08/01/2020";10;2018;283;41;21;0,036;0;0;0,006;0;0;0;3,085;0,12;0,359;0,11;0,005;0,118;0,01;0;0;1,332;0,077;0,006;0,023;0,059;0,219;0,024;0,006;0,006
"Point 1 Dunkerque";2018-10-15;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61677718;60674721;"08/01/2020";10;2018;288;42;21;0,069;0;0;0,005;0;0;0;3,539;0,232;0,414;0,142;0,012;0,131;0,009;0;0;1,458;0,111;0,009;0,049;0,047;0,194;0,033;0,008;0,014
"Point 1 Dunkerque";2018-10-31;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61685248;60676888;"08/01/2020";10;2018;304;44;22;0,03;0;0;0,007;0;0;0;5,229;0,084;0,416;0,094;0;0,191;0,018;0;0;2,427;0,048;0,002;0,011;0,078;0,174;0,019;0,008;0,004
"Point 1 Dunkerque";2018-11-15;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61690947;60677908;"03/03/2020";11;2018;319;46;23;0,029;0;0;0;0;0;0;3,39;0,132;0,268;0,085;0,006;0,136;0,01;0;0;1,716;0,019;0,004;0,023;0,045;0,094;0,014;0,011;0,011
"Point 1 Dunkerque";2018-12-12;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61696297;60681303;"03/03/2020";12;2018;346;50;25;0;0;0;0;0;0;0;1,756;0;0,12;0,036;0;0,076;0;0;0;0,991;0;0;0;0,038;0,081;0;0;0
"Point 1 Dunkerque";2018-12-27;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61697520;60682064;"03/03/2020";12;2018;361;52;26;0,023;0;0;0;0;0;0;0,795;0,035;0,053;0,019;0;0,037;0;0;0;0,367;0,01;0;0;0,014;0,022;0,006;0;0
"Point 1 Dunkerque";2019-02-06;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61717563;60692419;"03/03/2020";2;2019;37;6;3;0,041;0;0,005;0,03;0,014;0,014;0;5,824;0,087;0,365;0,041;0,053;0,39;0,02;0;0;3,156;0,02;0,014;0;0,137;0,195;0,017;0,006;0,007
"Point 1 Dunkerque";2019-02-25;"Surface (0-1m)";0,5;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";61724103;60694720;"03/03/2020";2;2019;56;8;4;0,066;0,003;0,002;0,017;0,005;0,048;0;12,914;0,188;1,02;0,038;0,046;0,597;0,059;0;0;5,805;0,035;0,008;0,06;0,129;0,128;0,016;0,011;0,005
"Point 1 Boulogne";2016-02-24;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60665221;60540161;"29/04/2019";2;2016;55;8;4;0,028;0;0;0;0;0;0;0,97;0,096;0,113;0,02;0;0,043;0;0;0;0,426;0;0;0,029;0,035;0,035;0;0;0,016
"Point 1 Boulogne";2016-03-08;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60666288;60541217;"29/04/2019";3;2016;68;10;5;0,021;0;0;0;0;0;0;1,427;0,053;0,167;0,027;0;0,07;0;0;0;0,717;0;0;0,043;0,047;0,046;0,011;0;0,012
"Point 1 Boulogne";2016-03-23;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60670215;60543420;"29/04/2019";3;2016;83;12;6;0,022;0;0;0,017;0;0,03;0;3,797;0,042;0,387;0,04;0;0,153;0,012;0;0;1,597;0;0;0;0,111;0,191;0;0;0
"Point 1 Boulogne";2016-04-04;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60677142;60547028;"29/04/2019";4;2016;95;14;7;0,02;0;0;0;0;0;0;5,201;0;0,71;0,414;0;0,179;0,037;0;0;2,092;0;0,013;0;0,092;0,076;0;0;0
"Point 1 Boulogne";2016-04-18;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60689055;60553096;"29/04/2019";4;2016;109;16;8;0;0;0;0;0;0;0;4,557;0;0,717;0,7;0;0,182;0;0;0;1,849;0,035;0;0;0;0;0,061;0;0
"Point 1 Boulogne";2016-05-11;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60690912;60553983;"29/04/2019";5;2016;132;19;10;0;0;0;0;0;0;0;0,282;0;0,047;0,062;0;0,02;0;0;0;0,176;0,031;0;0;0;0;0,015;0;0
"Point 1 Boulogne";2016-05-24;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60692174;60554704;"29/04/2019";5;2016;145;21;11;0;0;0;0;0;0,032;0;0,918;0;0,163;0,27;0;0,057;0;0;0;0,727;0,065;0;0;0;0,038;0,066;0;0
"Point 1 Boulogne";2016-06-08;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60693533;60555497;"29/04/2019";6;2016;160;23;12;0,027;0;0;0;0;0;0;2,415;0,104;0,303;0,062;0,006;0,093;0,012;0;0;1,13;0,006;0;0;0,051;0,033;0,017;0;0,03
"Point 1 Boulogne";2016-06-23;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60694730;60556119;"29/04/2019";6;2016;175;25;13;0;0;0;0;0;0;0;2,988;0,023;0,517;0,103;0;0,368;0,019;0;0;2,103;0;0;0;0,11;0,105;0;0;0
"Point 1 Boulogne";2016-07-04;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60695695;60556682;"29/04/2019";7;2016;186;27;14;0,035;0;0;0;0;0,086;0;3,561;0;0,596;0,078;0;0,208;0,019;0;0;1,978;0;0;0;0,055;0,117;0;0;0
"Point 1 Boulogne";2016-07-18;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60696517;60557262;"29/04/2019";7;2016;200;29;15;0,062;0;0;0;0;0,141;0;6,533;0,082;1,038;0,102;0;0,343;0,024;0;0;3,623;0,016;0;0,068;0,092;0,239;0,015;0;0,017
"Point 1 Boulogne";2016-08-23;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60699284;60558843;"29/04/2019";8;2016;236;34;17;0,08;0;0;0;0;0,072;0;4,711;0,098;0,803;0,095;0;0,312;0,026;0;0;2,47;0;0;0;0,087;0,178;0;0;0,016
"Point 1 Boulogne";2016-09-05;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60700031;60559356;"29/04/2019";9;2016;249;36;18;0,056;0;0;0;0;0,302;0;7,423;0,089;1,221;0,091;0;0,31;0;0;0;3,919;0;0;0;0,144;0,237;0;0;0
"Point 1 Boulogne";2016-09-20;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60701767;60560112;"29/04/2019";9;2016;264;38;19;0,022;0;0;0;0;0,056;0;3,597;0;0,572;0,192;0;0,141;0;0;0;2,2;0;0;0;0,079;0,093;0;0;0
"Point 1 Boulogne";2016-10-06;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60704514;60561302;"29/04/2019";10;2016;280;40;20;0,039;0;0;0;0;0;0;1,209;0,043;0,153;0,039;0;0,057;0,004;0;0;0,577;0,03;0;0,024;0,028;0,036;0,013;0;0,007
"Point 1 Boulogne";2016-10-20;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60705850;60561839;"29/04/2019";10;2016;294;42;21;0,019;0;0;0;0;0;0;0,933;0,029;0,108;0,055;0;0,032;0;0;0;0,441;0,007;0;0;0,022;0,032;0,005;0;0
"Point 1 Boulogne";2016-11-15;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60707527;60562883;"29/04/2019";11;2016;320;46;23;0,034;0;0;0;0;0;0;1,437;0,135;0,158;0,062;0;0,046;0;0;0;0,545;0,03;0;0;0,05;0,127;0,02;0;0
"Point 1 Boulogne";2016-11-28;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60710138;60563848;"29/04/2019";11;2016;333;48;24;0,016;0;0;0;0;0;0;0,603;0,045;0,066;0,02;0;0,028;0,008;0;0;0,301;0;0;0;0,043;0,047;0,011;0;0
"Point 1 Boulogne";2016-12-16;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Bon";"Non qualifié";60711515;60564716;"29/04/2019";12;2016;351;51;26;0,017;0;0;0;0;0,022;0;0,94;0,041;0,119;0,033;0;0,042;0;0;0;0,494;0,012;0;0;0,03;0,038;0,011;0;0
"Point 1 Boulogne";2017-01-05;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60712613;60565413;"29/04/2019";1;2017;5;1;1;0,012;0;0;0;0;0;0;0,893;0;0,054;0,011;0;0,037;0;0;0;0,478;0;0;0;0,037;0,054;0;0;0,007
"Point 1 Boulogne";2017-01-17;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60713974;60566148;"29/04/2019";1;2017;17;3;2;0;0;0;0;0;0;0;1,467;0;0,087;0,015;0;0,062;0;0;0;0,761;0;0;0;0,085;0,061;0;0;0
"Point 1 Boulogne";2017-02-10;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60715653;60566936;"29/04/2019";2;2017;41;6;3;0;0;0;0;0;0;0;2,827;0,048;0,175;0,017;0;0,095;0;0;0;1,294;0;0;0;0,061;0,078;0;0;0
"Point 1 Boulogne";2017-03-16;"Surface (0-1m)";1;"Microgramme par litre";"µg.l-1";"Non qualifié";"Non qualifié";60743560;60581625;"29/04/2019";3;2017;75;11;6;0,013;0;0;0;0;0;0;2,996;0,042;0,186;0,011;0;0,105;0;0;0;1,377;0;0;0,022;0,079;0,101;0;0;0
