"Fortnight";"Year";"Code_point_Libelle";"latitude";"longitude";"ssr";"tcc";"u10";"v10"
1;2012;"Le Cornard";46;0;0;0,835403535;1,5071357;-1,0469153
1;2012;"Loguivy";48,75;0;0;0,833602905;2,8494191;-0,221781765
1;2012;"Men er Roue";47,5;0;0;0,858956545;2,4853121;-0,49775549
1;2012;"Ouest Loscolo";47,5;0;0;0,858956545;2,4853121;-0,49775549
1;2012;"Point 1 Boulogne";50,75;1,5;0;0,741397465;6,0276497;0,414723275
1;2012;"Teychan bis";44,75;0;0;0,748386335;1,25524685;-0,35883942
1;2012;"les Hébihens";48,75;0;0;0,833602905;2,8494191;-0,221781765
1;2013;"Antifer ponton pétrolier";49,75;0,25;0;0,9996185;2,9760926;1,5051013
1;2013;"Arcachon - Bouée 7";44,5;0;0;0,924175625;0,65406068;-0,393447165
1;2013;"At so";50,25;1,5;0;0,9990539;2,63982625;0,112519515
1;2013;"Auger";45,75;0;0;0,9829399;0,236766355;-0,47276845
1;2013;"Cabourg";49,25;0;0;0,9974669;1,74736035;0,89634547
1;2013;"Le Cornard";46;0;0;0,98174965;0,398822425;-0,73091472
1;2013;"Loguivy";48,75;0;0;1;1,5060126;0,44717094
1;2013;"Men er Roue";47,5;0;0;0,9952085;1,24845915;-0,224478695
1;2013;"Ouest Loscolo";47,5;0;0;0,9952085;1,24845915;-0,224478695
1;2013;"Point 1 Boulogne";50,75;1,5;0;0,9953306;3,2839991;0,37066579
1;2013;"Teychan bis";44,75;0;0;0,93059983;0,55566952;-0,45540226
1;2013;"les Hébihens";48,75;0;0;1;1,5060126;0,44717094
1;2014;"Antifer ponton pétrolier";49,75;0,25;2,3283064e-10;0,89278687;3,1175852;7,05938735
1;2014;"Arcachon - Bouée 7";44,5;0;2,3283064e-10;0,95617473;-0,68130435;2,4414502
1;2014;"At so";50,25;1,5;2,3283064e-10;0,854455;2,7920082;6,37808985
1;2014;"Auger";45,75;0;2,3283064e-10;0,95499975;-0,050284073;3,43729795
1;2014;"Cabourg";49,25;0;2,3283064e-10;0,8610776;1,7524206;4,9664735
1;2014;"Le Cornard";46;0;2,3283064e-10;0,98275675;0,4584607;3,63610435
1;2014;"Loguivy";48,75;0;2,3283064e-10;0,9515664;1,8147861;4,79263115
1;2014;"Men er Roue";47,5;0;2,3283064e-10;0,908443065;1,3811744;3,54396345
1;2014;"Ouest Loscolo";47,5;0;2,3283064e-10;0,908443065;1,3811744;3,54396345
1;2014;"Point 1 Boulogne";50,75;1,5;2,3283064e-10;0,86029942;3,9288268;7,08934475
1;2014;"Teychan bis";44,75;0;2,3283064e-10;0,955015;-0,6734473;2,63934885
