ASV_ID	COUP1	COUP3	CROI1	CROI3	ESTL1	ESTL3	ESTV1	ESTV3	GILS1	GILS3	GILV1	GILV3	GOUR1	GOUR3	LO-19-287	LO-19-288	LO-19-289	LO-19-313	LO-19-314	LO-19-315	LO-19-330	LO-19-331	LO-19-332	LO-19-354	LO-19-355	LO-19-356	LO-20-006	LO-20-007	LO-20-008	LO-20-022	LO-20-023	LO-20-024	LO-20-038	LO-20-039	LO-20-040	LO-20-054	LO-20-055	LO-20-056	LO-20-258	LO-20-259	LO-20-260	LO-20-275	LO-20-276	LO-20-277	LO-20-290	LO-20-291	LO-20-292	LO-20-312	LO-20-313	LO-20-314	LO-20-328	LO-20-329	LO-20-330	LO-20-340	LO-20-341	LO-20-342	LO-21-005	LO-21-006	LO-21-007	LO-21-020	LO-21-021	LO-21-022	LO-21-035	LO-21-036	LO-21-037	LO-21-047	LO-21-048	LO-21-049	LO-21-062	LO-21-063	LO-21-064	MARE1	MARE3	NODU1	NODU3	NOIR1	NOIR3	NT-19-203	NT-19-204	NT-19-214	NT-19-215	NT-19-216	NT-19-224	NT-19-225	NT-19-237	NT-19-238	NT-19-239	NT-19-249	NT-19-250	NT-19-251	NT-19-253	NT-19-254	NT-19-255	NT-19-262	NT-19-263	NT-19-264	NT-19-273	NT-19-274	NT-19-275	NT-20-005	NT-20-006	NT-20-007	NT-20-013	NT-20-014	NT-20-015	NT-20-022	NT-20-023	NT-20-024	NT-20-032	NT-20-033	NT-20-034	NT-20-221	NT-20-222	NT-20-223	NT-20-238	NT-20-239	NT-20-240	NT-20-257	NT-20-258	NT-20-259	NT-20-268	NT-20-269	NT-20-270	NT-20-282	NT-20-283	NT-20-284	NT-20-290	NT-20-291	NT-20-292	NT-21-001	NT-21-002	NT-21-003	NT-21-010	NT-21-011	NT-21-012	NT-21-018	NT-21-019	NT-21-020	NT-21-038	NT-21-039	NT-21-040	NT-21-042	NT-21-043	NT-21-044	PENB1	PENB3	PENF1	PENF3	PMAE1	PMAE3	PORS1	PORS3	PORV1	PORV3	TCRO1	TCRO3	TURB1	TURB3	taxonomy
cc832b4d124e434e44ef3cae11d50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	9	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	12	0	0	0	11	10	0	43	0	0	59	5	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	0	0	17	7	5	0	0	12	0	0	6	10	5	10	0	0	13	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-1; Dino-Group-II-Clade-1_X; Dino-Group-II-Clade-1_X_sp.
cc8ed55f4d0c692d16b1a859f0ff9656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	30	0	14	0	0	0	0	0	52	11	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	527	57	22	117	77	0	48	34	0	28	0	0	0	0	79	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	49	0	0	0	0	21	0	20	12	14	31	27	18	25	0	16	12	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	49	0	25	48	11	0	22	17	0	22	16	17	11	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota
cca48027852af1f50214b4317862135b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	26	0	0	0	0	21	0	21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	53	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyta_X; Polar-centric-Mediophyceae; Thalassiosira; Thalassiosira_delicatula
ccb1a7a7c55922acea4fb24872df6f74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	98	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	Eukaryota; Opisthokonta; Fungi; Chytridiomycota; Chytridiomycotina; Chytridiomycetes; Chytridiomycetes_X; Chytridiomycetes_X_sp.
ccb43215ad44c09b23c02c3075cfe66d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Archaeplastida; Rhodophyta; Florideophyceae; Gigartinales; Gigartinales_X; Peyssonnelia
ccc295a5e055b3e056020c1d1d84da03	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Opisthokonta
cccc2beb1a0fd419d5807980ffff911a	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Amoebozoa; Lobosa; Discosea-Flabellinia; Dactylopodida; Vexilliferidae; Vexillifera; Vexillifera_tasmaniana
ccd7416e05ff9897f10bbc4ff67ab407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	8	24	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	72	10	0	11	4	5	14	4	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-25; Dino-Group-II-Clade-25_X; Dino-Group-II-Clade-25_X_sp.
cce0ed5027669140db3a8b427a3e47d3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota; Opisthokonta; Metazoa; Nematoda; Chromadorea; Chromadorea_X
cce2380aecd4d2f8ffedf20f11518995	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	11	0	0	0	0	0	0	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae
